date,count,uniques
2024-09-04,3,3
2024-09-06,1,1
2024-09-11,1,1
2024-09-13,1,1
2024-10-25,2,2
2024-11-08,1,1
2024-12-02,2,1
2025-01-11,1,1
2025-01-12,1,1
2025-02-03,1,1
2025-02-06,2,1
2025-02-08,1,1
2025-02-09,2,1
2025-02-14,1,1
2025-02-15,1,1
2025-02-25,1,1
2025-03-01,2,1
2025-03-04,2,1
2025-03-06,1,1
2025-04-02,2,2
2025-04-03,1,1
2025-04-07,1,1
2025-04-30,1,1
2025-05-07,1,1
2025-05-17,1,1
2025-05-23,1,1
2025-06-07,1,1
2025-06-13,1,1
2025-06-18,1,1
2025-06-21,1,1
2025-06-30,1,1
2025-07-20,1,1
2025-07-28,1,1
2025-08-14,1,1
2025-08-27,2,2
2025-09-09,1,1
