date,count,uniques
2024-08-21,1,1
2024-08-29,2,2
2024-09-12,1,1
2024-09-14,1,1
2024-10-19,1,1
2024-11-06,1,1
2024-11-09,1,1
2025-01-13,1,1
2025-02-14,1,1
2025-02-23,1,1
2025-03-06,1,1
2025-03-28,1,1
2025-03-31,1,1
2025-04-10,1,1
2025-04-16,1,1
2025-05-03,1,1
2025-05-17,1,1
2025-06-19,1,1
2025-06-21,2,2
2025-07-01,1,1
2025-07-28,1,1
2025-08-21,1,1
2025-08-22,1,1
2025-08-27,2,2
2025-09-08,1,1
2025-09-11,1,1
2025-09-14,1,1
2025-09-17,1,1
2025-09-19,1,1
2025-09-22,2,2
2025-10-04,1,1
2025-10-08,1,1
2025-10-18,1,1
2025-10-24,1,1
2025-10-26,2,2
2025-10-31,1,1
2025-11-01,1,1
2025-11-08,6,3
2025-11-13,1,1
2025-11-24,1,1
2025-12-05,1,1
2025-12-07,1,1
2025-12-09,1,1
2025-12-12,1,1
2025-12-13,1,1
2025-12-14,1,1
2025-12-15,1,1
2025-12-19,1,1
2025-12-20,1,1
2025-12-21,1,1
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,1,1
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,1,1
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,1,1
2025-12-31,1,1
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-15,1,1
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,1,1
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-06,0,0
2026-02-07,0,0
2026-02-08,0,0
