date,count,uniques
2024-09-29,2,2
2024-10-14,1,1
2024-10-22,1,1
2024-11-03,1,1
2024-11-08,1,1
2024-12-08,1,1
2024-12-12,1,1
2025-01-23,1,1
2025-02-03,1,1
2025-03-09,1,1
2025-03-22,1,1
2025-03-23,1,1
2025-04-10,1,1
2025-04-25,1,1
2025-05-17,1,1
2025-05-18,1,1
2025-06-18,1,1
2025-06-21,1,1
2025-07-26,1,1
2025-07-28,1,1
2025-08-03,1,1
2025-08-21,1,1
2025-08-22,1,1
2025-08-27,3,2
2025-09-01,1,1
2025-09-17,3,2
2025-10-12,1,1
2025-10-20,1,1
2025-10-24,1,1
2025-10-25,1,1
2025-11-08,6,3
2025-11-21,1,1
2025-11-26,1,1
2025-11-27,1,1
2025-12-02,1,1
2025-12-04,1,1
2025-12-22,1,1
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,1,1
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,1,1
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,1,1
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,1,1
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,1,1
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-11,0,0
2026-02-12,2,2
2026-02-13,0,0
2026-02-14,0,0
2026-02-15,0,0
2026-02-16,0,0
2026-02-17,0,0
2026-02-18,0,0
2026-02-19,0,0
2026-02-20,1,1
2026-02-21,0,0
2026-02-22,0,0
2026-02-23,0,0
2026-02-24,0,0
2026-02-25,0,0
2026-02-26,0,0
2026-02-27,0,0
2026-02-28,0,0
2026-03-01,1,1
2026-03-02,0,0
2026-03-03,0,0
2026-03-04,0,0
2026-03-05,2,2
2026-03-06,0,0
2026-03-07,0,0
2026-03-08,0,0
2026-03-09,0,0
2026-03-10,0,0
2026-03-11,0,0
2026-03-12,1,1
2026-03-13,0,0
2026-03-14,0,0
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,0,0
2026-03-18,2,2
2026-03-19,0,0
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,1,1
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,0,0
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,0,0
2026-04-02,0,0
2026-04-03,0,0
2026-04-04,0,0
2026-04-05,0,0
2026-04-06,1,1
2026-04-07,0,0
2026-04-08,0,0
2026-04-09,0,0
2026-04-10,0,0
2026-04-11,0,0
2026-04-12,3,3
2026-04-13,1,1
2026-04-14,1,1
2026-04-15,0,0
2026-04-16,0,0
2026-04-17,0,0
2026-04-18,0,0
2026-04-19,0,0
2026-04-20,0,0
2026-04-21,0,0
2026-04-22,0,0
2026-04-23,0,0
2026-04-24,1,1
