date,count,uniques
2024-12-06,7,5
2024-12-09,6,3
2024-12-11,3,2
2024-12-12,2,1
2024-12-19,1,1
2024-12-20,1,1
2024-12-31,1,1
2025-01-01,1,1
2025-01-02,8,5
2025-01-06,1,1
2025-01-22,1,1
2025-02-01,6,4
2025-02-03,2,2
2025-02-05,1,1
2025-02-12,2,2
2025-02-13,1,1
2025-02-21,1,1
2025-02-22,1,1
2025-02-23,1,1
2025-03-01,5,4
2025-03-02,1,1
2025-03-03,1,1
2025-03-05,3,3
2025-03-06,3,3
2025-03-07,1,1
2025-03-13,1,1
2025-03-20,1,1
2025-03-21,1,1
2025-03-29,1,1
2025-04-01,5,3
2025-04-02,1,1
2025-04-03,1,1
2025-04-05,1,1
2025-04-10,5,4
2025-04-11,1,1
2025-04-12,2,2
2025-04-19,1,1
2025-04-20,1,1
2025-04-27,2,1
2025-04-28,1,1
2025-04-30,1,1
2025-05-01,3,2
2025-05-03,1,1
2025-05-06,1,1
2025-05-10,1,1
2025-05-17,2,2
2025-05-25,1,1
2025-06-01,5,4
2025-06-03,1,1
2025-06-07,1,1
2025-06-09,1,1
2025-06-13,1,1
2025-06-14,1,1
2025-06-16,1,1
2025-06-21,1,1
2025-07-01,2,1
2025-07-02,1,1
2025-07-05,1,1
2025-07-12,1,1
2025-07-21,1,1
2025-07-23,1,1
2025-07-28,1,1
2025-07-29,1,1
2025-07-31,3,3
2025-08-01,2,1
2025-08-02,1,1
2025-08-09,1,1
2025-08-13,1,1
2025-08-23,1,1
2025-08-25,1,1
2025-08-27,4,3
2025-08-30,1,1
2025-09-01,4,3
2025-09-04,1,1
2025-09-05,1,1
2025-09-06,3,3
2025-09-07,1,1
2025-09-08,1,1
2025-09-12,1,1
2025-09-13,1,1
2025-09-14,1,1
2025-09-17,2,1
2025-09-20,1,1
2025-09-23,1,1
2025-09-26,1,1
2025-09-27,1,1
2025-10-01,6,5
2025-10-05,1,1
2025-10-10,3,3
2025-10-11,1,1
2025-10-15,1,1
2025-10-25,1,1
2025-10-26,2,2
2025-10-31,1,1
2025-11-01,4,2
2025-11-03,1,1
2025-11-08,7,4
2025-11-12,2,1
2025-11-14,2,2
2025-11-15,5,5
2025-11-16,2,2
2025-11-17,1,1
2025-11-19,1,1
2025-11-23,1,1
2025-11-25,1,1
2025-12-01,2,1
2025-12-03,2,1
2025-12-06,1,1
2025-12-07,1,1
2025-12-08,1,1
2025-12-10,1,1
2025-12-18,1,1
2025-12-19,1,1
2025-12-22,0,0
2025-12-23,1,1
2025-12-28,0,0
2025-12-29,0,0
2025-12-31,2,2
2026-01-03,0,0
2026-01-06,1,1
2026-01-10,1,1
2026-01-11,1,1
2026-01-12,1,1
2026-01-13,0,0
2026-01-15,2,2
2026-01-19,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,1,1
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
