date,count,uniques
2024-08-10,1,1
2024-08-12,2,2
2024-08-17,3,3
2024-08-21,1,1
2024-08-23,3,3
2024-08-27,2,2
2024-08-29,3,3
2024-08-30,4,4
2024-08-31,1,1
2024-09-01,1,1
2024-09-02,2,2
2024-09-03,1,1
2024-09-05,1,1
2024-09-10,2,2
2024-09-16,3,3
2024-09-19,2,2
2024-09-20,2,2
2024-09-22,2,2
2024-10-03,2,1
2024-10-04,1,1
2024-10-05,3,3
2024-10-07,1,1
2024-10-14,2,2
2024-10-25,2,2
2024-11-20,1,1
2024-11-25,1,1
2024-12-03,1,1
2024-12-10,1,1
2024-12-12,1,1
2024-12-13,1,1
2024-12-17,1,1
