date,count,uniques
2024-09-12,2,2
2024-09-13,1,1
2025-01-20,1,1
2025-02-07,1,1
2025-02-15,1,1
2025-02-27,1,1
2025-03-09,1,1
2025-03-10,1,1
2025-03-24,1,1
2025-04-02,1,1
2025-05-10,1,1
2025-05-17,1,1
2025-05-24,1,1
2025-05-25,1,1
2025-06-13,1,1
2025-06-21,1,1
2025-06-28,1,1
2025-07-02,1,1
2025-07-28,1,1
2025-08-05,1,1
2025-08-13,2,1
2025-08-27,2,2
2025-09-07,1,1
2025-09-08,1,1
2025-09-12,1,1
2025-09-17,2,2
2025-09-19,1,1
2025-10-12,1,1
2025-10-16,2,1
2025-10-17,4,1
