date,count,uniques
2024-08-20,1,1
2024-08-21,1,1
2024-09-09,1,1
2024-09-20,1,1
2024-10-01,1,1
2024-11-01,1,1
2024-11-30,1,1
2024-12-19,1,1
2025-01-19,1,1
2025-02-06,1,1
2025-02-08,1,1
2025-02-15,1,1
2025-02-22,1,1
2025-03-07,1,1
2025-03-09,1,1
2025-03-13,2,2
2025-03-20,1,1
2025-04-05,1,1
2025-04-08,1,1
2025-04-16,1,1
2025-04-18,1,1
2025-04-24,2,2
2025-04-28,1,1
2025-05-01,1,1
2025-05-06,1,1
2025-05-17,1,1
2025-06-09,1,1
2025-06-19,1,1
2025-06-21,1,1
2025-07-28,1,1
2025-08-03,1,1
2025-08-09,2,2
2025-08-20,2,1
2025-08-21,2,2
2025-08-22,1,1
2025-08-24,1,1
2025-08-27,2,2
2025-09-01,2,2
2025-09-06,1,1
2025-09-17,1,1
2025-09-18,2,2
2025-09-19,1,1
2025-09-20,2,2
2025-10-01,2,2
2025-10-26,2,2
2025-11-02,1,1
2025-11-04,1,1
2025-11-08,6,3
2025-11-10,1,1
2025-11-21,2,1
2025-12-04,2,2
2025-12-09,1,1
2025-12-10,2,2
2025-12-20,1,1
2025-12-22,0,0
2025-12-23,1,1
2025-12-24,0,0
2025-12-25,1,1
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,1,1
2026-01-01,0,0
2026-01-02,1,1
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,2,2
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
