date,count,uniques
2024-08-21,1,1
2024-09-05,1,1
2024-10-25,1,1
2024-10-30,1,1
2024-11-09,1,1
2024-11-26,1,1
2025-01-13,1,1
2025-01-25,1,1
2025-02-16,1,1
2025-02-27,1,1
2025-03-01,1,1
2025-03-07,1,1
2025-03-12,1,1
2025-03-23,1,1
2025-04-15,1,1
2025-05-03,1,1
2025-05-17,1,1
2025-06-07,1,1
2025-06-21,1,1
2025-06-30,1,1
2025-07-04,2,2
2025-07-28,1,1
2025-08-11,1,1
2025-08-27,3,3
2025-09-14,1,1
2025-09-17,3,3
2025-09-20,1,1
2025-09-26,1,1
2025-10-08,1,1
2025-10-18,1,1
2025-10-23,1,1
2025-10-26,1,1
2025-10-28,1,1
2025-11-08,6,3
2025-11-11,1,1
2025-12-02,1,1
2025-12-04,1,1
2025-12-08,2,2
2025-12-09,1,1
2025-12-12,1,1
2025-12-14,2,2
2025-12-18,3,3
2025-12-22,1,1
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,2,1
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,2,2
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,3,3
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
