date,count,uniques
2024-07-29,1,1
2024-08-05,1,1
2024-08-07,1,1
2024-08-09,1,1
2024-08-12,2,2
2024-08-13,5,4
2024-08-14,1,1
2024-08-18,1,1
2024-08-20,1,1
2024-08-21,1,1
2024-08-29,1,1
2024-08-31,1,1
2024-09-02,1,1
2024-09-06,1,1
2024-09-10,1,1
2024-09-18,1,1
2024-09-19,12,6
2024-09-20,1,1
2024-10-07,1,1
2024-10-14,4,3
2024-10-18,1,1
2024-10-26,1,1
2024-11-02,1,1
2024-11-08,1,1
2024-11-11,1,1
2024-11-12,2,2
2024-11-13,1,1
2024-12-02,1,1
2024-12-09,5,4
2024-12-11,1,1
2024-12-14,1,1
2024-12-19,2,2
2024-12-28,1,1
2024-12-30,1,1
2025-01-04,1,1
2025-01-06,2,2
2025-01-08,1,1
2025-01-13,4,3
2025-01-19,1,1
2025-01-30,1,1
2025-01-31,1,1
2025-02-03,1,1
2025-02-04,1,1
2025-02-09,1,1
2025-02-10,1,1
2025-02-11,3,3
2025-02-13,2,2
2025-02-15,1,1
2025-02-16,1,1
2025-02-27,1,1
2025-02-28,1,1
2025-03-01,1,1
2025-03-03,1,1
2025-03-05,2,1
2025-03-07,1,1
2025-03-08,1,1
2025-03-09,1,1
2025-03-10,5,4
2025-03-11,3,3
2025-03-12,1,1
2025-03-13,1,1
2025-03-14,1,1
2025-03-15,2,2
2025-03-21,1,1
2025-03-24,8,5
2025-03-25,1,1
2025-03-27,1,1
2025-03-29,2,2
2025-04-06,1,1
2025-04-07,1,1
2025-04-10,1,1
2025-04-13,1,1
2025-04-14,5,4
2025-04-15,1,1
2025-04-17,1,1
2025-04-18,2,2
2025-04-19,1,1
2025-04-23,1,1
2025-04-29,1,1
2025-04-30,6,1
2025-05-01,41,2
2025-05-02,2,2
2025-05-03,1,1
2025-05-12,4,3
2025-05-13,35,4
2025-05-16,1,1
2025-05-17,3,3
2025-05-20,1,1
2025-05-22,2,1
2025-05-25,1,1
2025-06-01,1,1
2025-06-02,1,1
2025-06-06,1,1
2025-06-07,1,1
2025-06-08,6,6
2025-06-09,8,5
2025-06-10,5,3
2025-06-11,1,1
2025-06-12,17,4
2025-06-13,1,1
2025-06-14,7,2
2025-06-16,33,6
2025-06-17,17,3
