date,count,uniques
2025-12-20,47,32
2025-12-21,8,3
2025-12-22,3,3
2025-12-23,5,3
2025-12-24,1,1
2025-12-25,4,3
2025-12-26,4,1
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,3,3
2025-12-30,0,0
2025-12-31,1,1
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-15,1,1
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,1,1
2026-01-21,0,0
2026-01-22,1,1
2026-01-23,0,0
