date,count,uniques
2024-09-30,1,1
2024-11-02,1,1
2024-11-09,1,1
2024-12-01,1,1
2024-12-11,1,1
2025-01-12,1,1
2025-01-13,1,1
2025-02-05,1,1
2025-02-06,1,1
2025-03-01,1,1
2025-03-02,1,1
2025-03-07,1,1
2025-03-15,1,1
2025-03-19,2,2
2025-04-10,1,1
2025-04-15,1,1
2025-04-26,1,1
2025-05-03,1,1
2025-05-11,1,1
2025-05-16,1,1
2025-05-17,1,1
2025-05-28,1,1
2025-06-03,1,1
2025-06-16,1,1
2025-06-18,1,1
2025-06-21,1,1
2025-07-04,1,1
2025-07-11,1,1
2025-07-12,1,1
2025-07-17,1,1
2025-07-27,2,2
2025-07-28,2,2
2025-07-30,1,1
2025-08-11,1,1
2025-08-21,1,1
2025-08-24,1,1
2025-08-27,2,2
2025-09-10,1,1
2025-09-12,1,1
2025-09-14,1,1
2025-09-17,3,3
2025-09-22,1,1
2025-09-26,1,1
2025-10-18,1,1
2025-10-21,2,1
2025-10-25,1,1
2025-10-31,1,1
2025-11-06,1,1
2025-11-07,1,1
2025-11-08,7,4
2025-11-09,1,1
2025-11-14,1,1
2025-11-18,1,1
2025-11-25,2,2
2025-11-26,4,4
2025-12-04,1,1
2025-12-11,1,1
2025-12-14,2,2
2025-12-18,1,1
2025-12-19,1,1
2025-12-20,1,1
2025-12-21,1,1
2025-12-22,0,0
2025-12-23,1,1
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-30,0,0
2026-01-03,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,1,1
2026-01-16,0,0
2026-01-20,0,0
2026-01-21,0,0
