date,count,uniques
2024-08-05,1,1
2024-08-13,2,2
2024-08-19,3,3
2024-08-21,1,1
2024-08-22,2,2
2024-08-23,3,3
2024-08-26,9,6
2024-08-29,3,3
2024-09-02,1,1
2024-09-04,2,2
2024-09-09,2,1
2024-09-10,1,1
2024-09-17,1,1
2024-09-20,3,3
2024-09-21,3,3
2024-09-28,1,1
2024-09-29,1,1
2024-10-09,1,1
2024-10-12,3,3
2024-10-14,7,6
2024-10-15,1,1
2024-10-16,2,2
2024-10-25,1,1
2024-10-28,1,1
2024-11-12,1,1
2024-11-13,1,1
2024-12-02,1,1
2024-12-09,2,2
2024-12-10,8,4
2024-12-11,2,1
2024-12-16,3,2
2024-12-21,1,1
2024-12-23,6,4
2024-12-30,3,2
2025-01-06,4,3
2025-01-09,7,4
2025-01-13,3,2
2025-01-20,3,2
2025-01-27,2,1
2025-02-03,6,4
2025-02-07,3,3
2025-02-10,4,3
2025-02-12,1,1
2025-02-17,6,5
2025-02-19,6,4
2025-02-21,5,4
2025-02-24,3,2
2025-02-27,3,3
2025-03-01,1,1
2025-03-03,5,4
2025-03-04,8,6
2025-03-05,1,1
2025-03-06,1,1
2025-03-10,5,4
2025-03-14,1,1
2025-03-17,3,2
2025-03-22,2,2
2025-03-24,3,2
2025-03-29,1,1
2025-03-31,4,3
2025-04-01,3,3
2025-04-07,1,1
2025-04-08,1,1
2025-04-12,13,9
2025-04-14,4,3
2025-04-17,5,4
2025-04-19,1,1
2025-04-20,1,1
2025-04-21,3,2
2025-04-26,3,3
2025-04-27,1,1
2025-04-28,5,3
2025-04-30,3,3
2025-05-03,1,1
2025-05-05,3,2
2025-05-11,1,1
2025-05-12,3,2
2025-05-17,1,1
2025-05-18,1,1
2025-05-19,4,3
2025-05-20,2,2
2025-05-25,1,1
2025-05-26,7,5
2025-06-01,1,1
2025-06-02,3,2
2025-06-08,1,1
2025-06-09,4,3
2025-06-15,2,2
2025-06-16,5,4
2025-06-21,1,1
2025-06-22,1,1
2025-06-23,4,3
2025-06-30,3,2
2025-07-01,1,1
2025-07-04,1,1
2025-07-07,3,2
2025-07-11,1,1
2025-07-12,1,1
2025-07-14,3,2
2025-07-18,1,1
2025-07-19,1,1
2025-07-21,1,1
2025-07-27,1,1
2025-07-28,5,4
2025-07-31,1,1
2025-08-02,1,1
2025-08-04,3,2
2025-08-09,2,2
2025-08-10,2,2
2025-08-11,3,2
2025-08-13,1,1
2025-08-22,1,1
2025-08-25,4,2
2025-08-26,1,1
2025-08-27,2,2
2025-09-01,4,3
2025-09-02,2,2
2025-09-06,1,1
2025-09-08,4,3
2025-09-13,1,1
