date,count,uniques
2025-04-16,8,7
2025-04-24,1,1
2025-04-28,1,1
2025-05-17,1,1
2025-06-15,1,1
2025-06-21,1,1
2025-06-27,1,1
2025-07-28,1,1
2025-08-03,1,1
2025-08-22,1,1
2025-08-27,2,2
2025-08-30,1,1
2025-09-01,1,1
2025-09-17,1,1
2025-09-22,1,1
2025-10-06,1,1
2025-11-02,1,1
2025-11-05,1,1
2025-11-07,1,1
2025-11-08,6,3
2025-11-10,1,1
2025-11-13,1,1
2025-11-27,1,1
2025-11-29,1,1
2025-12-02,1,1
2025-12-05,1,1
2025-12-16,1,1
2025-12-21,1,1
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-31,1,1
2026-01-01,0,0
2026-01-02,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-08,1,1
2026-01-09,0,0
2026-01-13,0,0
2026-01-15,1,1
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-21,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-07,0,0
2026-02-08,0,0
2026-02-12,1,1
2026-02-13,0,0
2026-02-14,0,0
2026-02-15,0,0
