date,count,uniques
2024-09-27,1,1
2024-09-28,4,4
2024-09-29,2,1
2024-11-03,1,1
2024-11-20,1,1
2024-12-03,1,1
2025-01-06,1,1
2025-01-30,1,1
2025-02-01,1,1
2025-03-02,1,1
2025-03-10,1,1
2025-03-19,2,2
2025-04-03,1,1
2025-04-07,2,2
2025-04-08,1,1
2025-04-11,1,1
2025-04-26,1,1
2025-04-29,1,1
2025-05-06,1,1
2025-05-17,1,1
2025-06-11,2,2
2025-06-19,1,1
2025-06-21,1,1
2025-07-14,2,2
2025-07-28,1,1
2025-07-30,1,1
2025-08-03,1,1
2025-08-22,1,1
2025-08-23,1,1
2025-08-25,1,1
2025-08-27,2,2
2025-09-01,1,1
2025-09-17,2,2
