date,count,uniques
2024-08-02,1,1
2024-08-21,1,1
2024-08-26,1,1
2024-11-04,1,1
2024-11-13,1,1
2025-02-12,1,1
2025-03-06,1,1
2025-03-07,1,1
2025-03-21,1,1
2025-03-26,1,1
2025-04-03,1,1
2025-04-07,1,1
2025-04-22,1,1
2025-04-27,1,1
2025-05-17,1,1
2025-05-24,1,1
2025-06-05,1,1
2025-06-21,1,1
2025-07-28,1,1
2025-08-27,3,3
2025-08-31,1,1
2025-09-05,1,1
2025-09-11,1,1
2025-09-17,1,1
2025-09-18,1,1
2025-09-29,1,1
2025-10-09,2,2
2025-10-19,1,1
2025-10-25,1,1
2025-10-31,1,1
2025-11-08,7,4
2025-11-10,1,1
2025-11-11,1,1
2025-11-25,1,1
2025-12-04,1,1
2025-12-07,1,1
2025-12-18,1,1
2025-12-19,1,1
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
