date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2024-07-26,Google,7,4,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,Google,7,4,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,Google,7,4,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,Google,8,5,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-30,Google,8,5,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,Google,7,4,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,Google,3,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-15,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,Google,3,3,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-20,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-22,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-23,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24,Google,5,5,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25,Google,5,5,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-26,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,Google,4,4,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-02,Google,3,3,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03,Google,3,3,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04,Google,2,2,yandex.ru,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-02,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-03,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-05,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-06,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-08,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-09,Google,2,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-10,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-12,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-13,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-15,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-16,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-17,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-18,Google,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-20,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-21,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-23,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-24,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-10,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-11,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-12,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-13,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-14,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-15,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-16,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-17,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19,Google,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-20,Google,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21,Google,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22,Google,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23,Google,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-24,Google,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-25,Google,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-28,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02,Google,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-07,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-08,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-14,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-15,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-30,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-03,Google,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-04,Google,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-05,Google,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06,Google,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-07,Google,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-08,Google,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09,Google,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-10,Google,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-11,Google,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-12,Google,3,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-13,Google,4,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14,Google,4,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-15,Google,4,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-16,Google,4,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-17,Google,2,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-18,Google,12,4,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19,Google,12,4,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20,Google,13,4,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21,Google,12,3,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-22,Google,13,3,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-23,Google,13,3,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-24,Google,13,3,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-25,Google,13,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-26,Google,12,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-27,Google,12,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,Google,13,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,Google,13,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-30,Google,13,3,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,Google,3,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,Google,4,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-02,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-04,Google,2,2,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-06,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-07,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-08,Google,4,4,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-09,Google,4,4,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-10,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-11,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-12,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-13,Google,3,3,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-14,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-15,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-16,Google,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
