date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-12-23,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-24,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-26,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-27,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-28,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-03,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-04,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-19,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-21,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24,news.ycombinator.com,27,19,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-25,news.ycombinator.com,35,21,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-26,news.ycombinator.com,35,21,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-27,news.ycombinator.com,35,21,piebro.github.io,4,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28,news.ycombinator.com,35,21,piebro.github.io,6,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29,news.ycombinator.com,35,21,piebro.github.io,6,2,,,,,,,,,,,,,,,,,,,,,,,,
