date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2024-07-26,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-30,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-23,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-24,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-25,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-28,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-29,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-01,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
