date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-04-16,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-18,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-19,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-21,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24,Google,1,1,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-25,Google,1,1,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-26,Google,1,1,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-27,Google,1,1,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-28,Google,1,1,github.com,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-29,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-01,news.ycombinator.com,9,5,Google,3,3,github.com,2,2,,,,,,,,,,,,,,,,,,,,,
2025-05-02,news.ycombinator.com,9,5,Google,3,3,github.com,2,2,,,,,,,,,,,,,,,,,,,,,
2025-05-03,news.ycombinator.com,9,5,DuckDuckGo,5,1,Google,3,3,github.com,2,2,,,,,,,,,,,,,,,,,,
2025-05-04,news.ycombinator.com,9,5,DuckDuckGo,5,1,Google,3,3,github.com,2,2,ecosia.org,1,1,,,,,,,,,,,,,,,
2025-05-05,news.ycombinator.com,9,5,Google,5,4,DuckDuckGo,5,1,github.com,2,2,ecosia.org,1,1,,,,,,,,,,,,,,,
2025-05-06,news.ycombinator.com,9,5,Google,6,5,DuckDuckGo,6,2,ecosia.org,1,1,github.com,1,1,,,,,,,,,,,,,,,
2025-05-07,news.ycombinator.com,9,5,DuckDuckGo,6,2,Google,5,4,github.com,3,2,ecosia.org,1,1,yandex.ru,1,1,,,,,,,,,,,,
2025-05-08,news.ycombinator.com,10,6,Google,7,6,DuckDuckGo,6,2,github.com,3,2,ecosia.org,1,1,yandex.ru,1,1,,,,,,,,,,,,
2025-05-09,Google,12,8,news.ycombinator.com,10,6,DuckDuckGo,6,2,github.com,3,2,yandex.ru,1,1,ecosia.org,1,1,git.news,1,1,Bing,1,1,,,,,,
2025-05-10,Google,13,9,news.ycombinator.com,10,6,DuckDuckGo,6,2,github.com,3,2,yandex.ru,1,1,ecosia.org,1,1,git.news,1,1,Bing,1,1,,,,,,
2025-05-11,Google,15,10,news.ycombinator.com,10,6,DuckDuckGo,6,2,github.com,3,2,yandex.ru,1,1,ecosia.org,1,1,git.news,1,1,Bing,1,1,,,,,,
2025-05-12,Google,17,12,news.ycombinator.com,10,6,DuckDuckGo,6,2,github.com,3,2,yandex.ru,1,1,ecosia.org,1,1,git.news,1,1,Bing,1,1,,,,,,
2025-05-13,Google,19,13,news.ycombinator.com,10,6,DuckDuckGo,6,2,github.com,3,2,yandex.ru,1,1,ecosia.org,1,1,git.news,1,1,Bing,1,1,,,,,,
2025-05-14,Google,20,13,DuckDuckGo,6,2,github.com,5,2,Bing,1,1,news.ycombinator.com,1,1,yandex.ru,1,1,ecosia.org,1,1,git.news,1,1,,,,,,
2025-05-15,Google,20,13,DuckDuckGo,6,2,github.com,5,2,git.news,1,1,piebro.github.io,1,1,Bing,1,1,ecosia.org,1,1,news.ycombinator.com,1,1,yandex.ru,1,1,,,
2025-05-16,Google,21,14,github.com,5,2,piebro.github.io,2,2,git.news,1,1,ecosia.org,1,1,Bing,1,1,DuckDuckGo,1,1,news.ycombinator.com,1,1,yandex.ru,1,1,,,
2025-05-17,Google,21,14,github.com,8,4,piebro.github.io,3,3,statics.teams.cdn.office.net,2,1,git.news,1,1,Bing,1,1,DuckDuckGo,1,1,news.ycombinator.com,1,1,yandex.ru,1,1,,,
2025-05-18,Google,21,14,github.com,8,4,piebro.github.io,4,3,statics.teams.cdn.office.net,2,1,git.news,1,1,Bing,1,1,DuckDuckGo,1,1,news.ycombinator.com,1,1,yandex.ru,1,1,,,
2025-05-19,Google,21,13,github.com,8,4,piebro.github.io,4,3,statics.teams.cdn.office.net,2,1,git.news,1,1,Bing,1,1,news.ycombinator.com,1,1,yandex.ru,1,1,,,,,,
2025-05-20,Google,21,13,github.com,6,3,piebro.github.io,4,3,statics.teams.cdn.office.net,2,1,git.news,1,1,Bing,1,1,news.ycombinator.com,1,1,,,,,,,,,
2025-05-21,Google,22,13,github.com,6,3,piebro.github.io,4,3,statics.teams.cdn.office.net,2,1,git.news,1,1,Bing,1,1,,,,,,,,,,,,
2025-05-22,Google,17,11,github.com,6,3,piebro.github.io,5,4,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-23,Google,17,11,github.com,7,4,piebro.github.io,5,4,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-24,Google,16,11,github.com,7,4,piebro.github.io,6,4,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-25,Google,16,10,github.com,7,4,piebro.github.io,6,4,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-26,Google,14,9,github.com,7,4,piebro.github.io,6,4,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-27,Google,11,7,piebro.github.io,6,4,github.com,4,3,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-28,Google,11,7,piebro.github.io,5,3,github.com,4,3,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-29,Google,11,7,github.com,4,3,piebro.github.io,4,2,statics.teams.cdn.office.net,2,1,,,,,,,,,,,,,,,,,,
2025-05-30,Google,13,9,piebro.github.io,3,2,github.com,2,2,,,,,,,,,,,,,,,,,,,,,
2025-05-31,Google,13,11,github.com,2,2,piebro.github.io,2,1,,,,,,,,,,,,,,,,,,,,,
2025-06-01,Google,12,11,github.com,2,2,piebro.github.io,2,1,,,,,,,,,,,,,,,,,,,,,
2025-06-02,Google,13,12,github.com,2,2,piebro.github.io,2,1,,,,,,,,,,,,,,,,,,,,,
2025-06-03,Google,14,11,github.com,2,2,piebro.github.io,2,1,,,,,,,,,,,,,,,,,,,,,
2025-06-04,Google,15,12,github.com,2,2,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-05,Google,15,12,github.com,2,2,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-06,Google,19,16,github.com,2,2,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-07,Google,21,18,github.com,3,3,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-08,Google,21,18,github.com,3,3,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-09,Google,21,18,github.com,3,3,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-10,github.com,29,5,Google,22,19,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-11,github.com,32,6,Google,21,18,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-12,github.com,31,5,Google,21,17,pypi.org,1,1,,,,,,,,,,,,,,,,,,,,,
2025-06-13,github.com,31,5,Google,25,20,pypi.org,1,1,qwant.com,1,1,,,,,,,,,,,,,,,,,,
2025-06-14,github.com,31,5,Google,29,22,pypi.org,1,1,qwant.com,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,
2025-06-15,github.com,31,5,Google,30,22,pypi.org,1,1,qwant.com,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,
2025-06-16,github.com,32,6,Google,29,22,pypi.org,1,1,qwant.com,1,1,search.brave.com,1,1,,,,,,,,,,,,,,,
2025-06-17,github.com,32,6,Google,31,24,search.brave.com,2,1,pypi.org,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
2025-06-18,Google,33,26,github.com,31,5,search.brave.com,3,1,pypi.org,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
2025-06-19,github.com,31,5,Google,29,23,search.brave.com,4,1,piebro.github.io,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
2025-06-20,github.com,30,4,Google,25,20,search.brave.com,4,1,piebro.github.io,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
2025-06-21,github.com,30,4,Google,26,21,search.brave.com,4,1,piebro.github.io,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
2025-06-22,github.com,30,4,Google,27,22,search.brave.com,4,1,piebro.github.io,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
2025-06-23,Google,29,23,github.com,5,4,search.brave.com,4,1,piebro.github.io,1,1,qwant.com,1,1,,,,,,,,,,,,,,,
