date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2024-07-26,github.com,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-27,github.com,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,github.com,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,github.com,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-30,github.com,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,github.com,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,github.com,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-02,github.com,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,github.com,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,github.com,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,github.com,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-06,github.com,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-07,github.com,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-08,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,github.com,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-10,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-15,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,github.com,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-29,github.com,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-30,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-02,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04,github.com,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05,github.com,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-06,github.com,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-07,github.com,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,github.com,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,github.com,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,github.com,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,github.com,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,github.com,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,github.com,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,github.com,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,github.com,5,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,github.com,5,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,github.com,4,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,github.com,4,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,github.com,4,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,github.com,4,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,Google,1,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,github.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,github.com,2,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,Google,12,2,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,Google,12,2,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,Google,12,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,Google,12,2,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,Google,11,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,Google,11,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,Google,11,1,chatgpt.com,2,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2024-10-01,Google,11,1,chatgpt.com,2,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2024-10-02,Google,11,1,chatgpt.com,2,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
2024-10-03,Google,11,1,chatgpt.com,2,1,github.com,1,1,,,,,,,,,,,,,,,,,,,,,
