date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2024-07-26,piebro.github.io,9,4,DuckDuckGo,7,1,Bing,6,2,Google,2,1,,,,,,,,,,,,,,,,,,
2024-07-27,piebro.github.io,9,4,DuckDuckGo,7,1,Bing,6,2,Google,2,1,,,,,,,,,,,,,,,,,,
2024-07-28,piebro.github.io,8,3,DuckDuckGo,7,1,Bing,6,2,Google,2,1,,,,,,,,,,,,,,,,,,
2024-07-29,piebro.github.io,8,3,DuckDuckGo,8,2,Bing,6,2,Google,2,1,,,,,,,,,,,,,,,,,,
2024-07-30,DuckDuckGo,8,2,piebro.github.io,7,2,Bing,6,2,Google,2,1,,,,,,,,,,,,,,,,,,
2024-07-31,piebro.github.io,8,3,DuckDuckGo,8,2,Bing,6,2,Google,1,1,,,,,,,,,,,,,,,,,,
2024-08-01,piebro.github.io,8,3,DuckDuckGo,8,2,Google,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,
2024-08-02,piebro.github.io,8,3,DuckDuckGo,8,2,Google,2,2,,,,,,,,,,,,,,,,,,,,,
2024-08-03,piebro.github.io,8,3,DuckDuckGo,8,2,Google,2,2,,,,,,,,,,,,,,,,,,,,,
2024-08-04,piebro.github.io,8,3,DuckDuckGo,8,2,Google,2,2,,,,,,,,,,,,,,,,,,,,,
2024-08-05,DuckDuckGo,8,2,piebro.github.io,7,2,Google,2,2,,,,,,,,,,,,,,,,,,,,,
2024-08-06,DuckDuckGo,8,2,Google,2,2,piebro.github.io,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-07,Google,2,2,piebro.github.io,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
2024-08-08,Google,2,2,piebro.github.io,1,1,DuckDuckGo,1,1,,,,,,,,,,,,,,,,,,,,,
