date,count,uniques
2024-12-06,9,3
2024-12-07,1,1
2024-12-09,13,8
2024-12-10,5,2
2024-12-11,19,6
2024-12-12,14,3
2024-12-13,4,1
2024-12-14,1,1
2024-12-19,3,3
2024-12-20,3,3
2024-12-21,2,2
2024-12-22,2,1
2024-12-30,6,1
2025-01-02,6,2
2025-01-03,16,1
2025-01-07,2,2
2025-01-08,19,3
2025-01-09,15,4
2025-01-10,2,1
2025-01-12,5,2
2025-01-14,3,2
2025-01-16,2,2
2025-01-17,1,1
2025-01-19,25,1
2025-01-23,14,4
2025-01-25,1,1
2025-01-26,7,2
2025-01-27,2,1
2025-01-30,13,5
2025-01-31,14,1
2025-02-01,6,2
2025-02-03,11,3
2025-02-04,18,2
2025-02-05,32,2
2025-02-07,2,1
2025-02-08,1,1
2025-02-09,4,4
2025-02-10,2,1
2025-02-11,6,2
2025-02-12,11,1
2025-02-13,4,4
2025-02-14,2,1
2025-02-15,3,2
2025-02-16,11,5
2025-02-17,5,2
2025-02-18,6,4
2025-02-19,3,3
2025-02-20,1,1
2025-02-21,1,1
2025-02-22,22,5
2025-02-23,7,3
2025-02-24,1,1
2025-02-25,1,1
2025-02-26,17,3
2025-02-27,6,5
2025-02-28,6,6
2025-03-01,1,1
2025-03-02,20,2
2025-03-03,30,3
2025-03-04,8,5
2025-03-05,6,2
2025-03-06,11,6
2025-03-07,3,2
2025-03-08,4,1
2025-03-09,32,2
2025-03-10,4,2
2025-03-11,14,4
2025-03-12,9,3
2025-03-13,2,1
2025-03-14,4,2
2025-03-15,4,1
2025-03-16,2,2
2025-03-17,10,4
2025-03-18,57,6
2025-03-19,21,4
2025-03-20,5,2
2025-03-21,33,5
2025-03-22,20,5
2025-03-23,8,2
2025-03-24,1,1
2025-03-25,36,2
2025-03-26,6,2
2025-03-27,37,5
2025-03-28,4,2
2025-03-30,1,1
2025-03-31,1,1
2025-04-01,4,3
2025-04-02,40,4
2025-04-03,16,6
2025-04-04,26,3
2025-04-07,4,3
2025-04-09,7,4
2025-04-10,26,5
2025-04-11,15,4
2025-04-12,8,2
2025-04-13,1,1
2025-04-14,28,2
2025-04-15,16,7
2025-04-16,9,6
2025-04-17,7,5
2025-04-18,1,1
2025-04-20,4,2
2025-04-21,15,3
2025-04-22,37,2
2025-04-23,29,6
2025-04-24,25,5
2025-04-25,30,6
2025-04-26,12,1
2025-04-27,133,8
2025-04-28,16,6
2025-04-29,59,9
2025-04-30,10,5
2025-05-01,36,7
2025-05-02,71,9
2025-05-03,1,1
2025-05-04,27,1
2025-05-05,124,7
2025-05-06,61,9
2025-05-07,3,3
2025-05-08,13,5
2025-05-09,4,3
2025-05-10,14,2
2025-05-11,48,6
2025-05-12,79,5
2025-05-13,6,3
2025-05-14,37,6
2025-05-15,72,8
2025-05-16,25,3
2025-05-17,4,3
2025-05-18,30,3
2025-05-19,25,8
2025-05-20,3,3
2025-05-21,13,4
2025-05-22,23,5
2025-05-23,2,1
2025-05-24,34,5
2025-05-25,14,5
2025-05-26,12,6
2025-05-27,22,5
2025-05-28,43,3
2025-05-29,45,9
2025-05-30,14,5
2025-06-01,12,5
2025-06-02,46,5
2025-06-03,58,10
2025-06-04,9,6
2025-06-05,6,3
2025-06-06,34,4
2025-06-07,15,4
2025-06-08,5,4
2025-06-09,60,7
2025-06-10,8,5
2025-06-11,25,9
2025-06-13,15,9
2025-06-14,65,6
2025-06-15,4,3
2025-06-16,41,4
2025-06-18,1,1
2025-06-19,37,3
2025-06-20,10,4
2025-06-21,4,2
2025-06-22,1,1
2025-06-23,7,5
2025-06-24,24,3
2025-06-25,16,3
2025-06-26,42,5
2025-06-27,5,4
2025-06-28,2,1
2025-06-29,2,1
2025-06-30,13,5
2025-07-01,42,4
2025-07-02,7,5
2025-07-03,7,4
2025-07-04,59,7
2025-07-05,24,6
2025-07-06,10,3
2025-07-07,9,4
2025-07-08,6,3
2025-07-09,31,6
