date,count,uniques
2025-04-18,5,5
2025-04-19,1,1
2025-04-21,7,3
2025-04-22,3,3
2025-04-23,4,4
2025-04-24,7,4
2025-04-25,2,1
2025-04-26,2,2
2025-04-27,3,1
2025-04-28,1,1
2025-04-29,2,1
2025-04-30,7,2
2025-05-03,1,1
2025-05-05,1,1
2025-05-07,7,3
2025-05-08,1,1
2025-05-09,2,2
2025-05-10,1,1
2025-05-11,6,2
2025-05-14,6,1
2025-05-15,2,2
2025-05-17,3,3
2025-05-18,1,1
2025-05-21,4,2
2025-05-22,11,4
2025-05-23,1,1
2025-05-24,3,1
2025-05-25,2,2
2025-05-26,1,1
2025-05-27,1,1
2025-05-28,1,1
2025-05-30,2,2
2025-05-31,1,1
2025-06-01,3,1
2025-06-02,4,4
2025-06-03,5,1
2025-06-04,6,4
2025-06-05,1,1
2025-06-06,1,1
2025-06-07,4,3
2025-06-08,4,4
2025-06-09,3,2
2025-06-10,4,2
2025-06-11,9,4
2025-06-12,5,3
2025-06-13,13,6
2025-06-14,1,1
2025-06-16,4,3
2025-06-17,5,5
