date,count,uniques
2024-09-24,1,1
2024-10-16,3,1
2024-10-22,1,1
2024-11-12,1,1
2024-11-13,1,1
2024-11-14,4,1
2024-11-22,6,1
2024-11-26,2,1
2024-12-17,5,1
2025-01-09,8,3
2025-01-10,2,1
2025-01-11,3,1
2025-01-20,1,1
2025-01-22,9,1
2025-01-26,1,1
2025-02-07,2,1
2025-02-08,4,1
2025-02-09,2,1
2025-02-10,1,1
2025-02-17,4,3
2025-02-22,1,1
2025-02-27,1,1
2025-03-04,1,1
2025-03-12,3,1
2025-03-17,1,1
2025-04-20,7,1
2025-05-06,1,1
2025-05-13,1,1
2025-06-15,1,1
2025-07-09,2,1
2025-07-13,1,1
2025-07-24,1,1
2025-09-04,1,1
2025-09-14,1,1
