date,count,uniques
2024-09-06,4,2
2024-09-21,2,1
2024-09-26,8,2
2024-09-27,62,10
2024-09-28,3,3
2024-09-30,14,2
2024-10-01,4,2
2024-10-02,1,1
2024-10-03,6,1
2024-10-08,1,1
2024-10-12,1,1
2024-10-23,1,1
2024-11-01,9,1
2024-11-09,1,1
2024-11-15,1,1
2024-11-19,1,1
2024-11-24,4,2
2024-11-25,1,1
2024-11-28,2,2
2024-12-10,11,1
2024-12-11,1,1
2024-12-21,1,1
2025-01-09,1,1
2025-01-13,1,1
2025-01-14,7,1
2025-01-17,4,2
2025-01-18,1,1
2025-01-22,1,1
2025-01-27,1,1
2025-01-30,2,1
2025-01-31,1,1
2025-02-06,3,1
2025-02-07,1,1
2025-02-11,1,1
2025-02-15,1,1
2025-02-19,2,2
2025-02-21,1,1
2025-02-27,1,1
2025-03-02,3,1
2025-03-04,1,1
2025-03-16,1,1
2025-03-19,3,3
2025-03-20,1,1
2025-03-21,1,1
2025-04-14,1,1
2025-04-20,1,1
2025-04-21,1,1
2025-04-29,1,1
2025-05-12,2,2
