date,count,uniques
2024-07-25,1,1
2024-11-05,2,2
2024-11-06,1,1
2024-11-07,4,4
2024-11-20,1,1
2024-12-30,1,1
2025-01-09,6,1
2025-01-22,1,1
2025-02-16,1,1
2025-02-18,1,1
2025-03-16,1,1
2025-05-08,1,1
2025-05-09,1,1
2025-05-22,1,1
2025-05-28,1,1
2025-06-15,1,1
2025-07-05,1,1
2025-07-08,1,1
2025-08-18,1,1
2025-08-21,1,1
2025-09-18,2,1
2025-09-21,1,1
2025-09-23,1,1
2025-09-25,1,1
2025-09-29,1,1
2025-10-01,1,1
2025-10-07,1,1
2025-10-26,3,2
2025-11-18,1,1
2025-12-12,1,1
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
