date,count,uniques
2024-09-12,9,1
2025-01-10,1,1
2025-07-06,3,1
2025-10-23,1,1
2025-11-20,1,1
2025-12-15,1,1
2025-12-16,1,1
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
