date,count,uniques
2024-08-02,1,1
2024-10-14,7,1
2024-10-16,1,1
2024-12-10,15,1
2024-12-11,4,1
2024-12-20,3,1
2025-01-06,1,1
2025-01-14,13,1
2025-01-20,1,1
2025-01-21,2,1
2025-02-01,2,1
2025-02-19,2,1
2025-03-16,1,1
2025-04-29,4,1
2025-05-26,1,1
2025-05-30,1,1
2025-08-04,2,1
2025-10-06,2,1
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-30,0,0
2026-01-01,0,0
2026-01-03,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-08,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-06,2,1
2026-02-07,0,0
2026-02-08,0,0
2026-02-09,0,0
2026-02-10,0,0
2026-02-11,0,0
2026-02-12,0,0
2026-02-13,0,0
2026-02-16,0,0
2026-02-17,0,0
2026-02-18,0,0
2026-02-20,0,0
2026-02-21,0,0
2026-02-23,0,0
2026-02-24,1,1
2026-02-25,0,0
2026-02-26,0,0
2026-02-27,0,0
2026-02-28,0,0
2026-03-01,0,0
2026-03-02,0,0
2026-03-03,0,0
2026-03-04,0,0
2026-03-05,0,0
2026-03-06,0,0
2026-03-07,0,0
2026-03-08,0,0
2026-03-09,0,0
2026-03-10,0,0
2026-03-11,0,0
2026-03-12,0,0
2026-03-13,0,0
2026-03-14,1,1
2026-03-15,0,0
2026-03-16,0,0
2026-03-17,0,0
2026-03-18,0,0
2026-03-19,0,0
2026-03-20,0,0
2026-03-21,0,0
2026-03-22,0,0
2026-03-23,0,0
2026-03-24,0,0
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,0,0
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,0,0
2026-04-02,0,0
2026-04-03,0,0
