date,count,uniques
2024-07-25,1,1
2024-07-26,1,1
2024-07-27,5,2
2024-08-01,1,1
2024-08-02,1,1
2024-08-03,1,1
2024-08-04,2,1
2024-08-05,2,2
2024-08-06,3,1
2024-08-08,1,1
2024-08-09,3,2
2024-08-10,2,1
2024-08-11,1,1
2024-08-12,3,3
2024-08-14,2,1
2024-08-16,3,3
2024-08-17,2,2
2024-08-18,3,2
2024-08-19,7,4
2024-08-20,2,2
2024-08-21,3,3
2024-08-22,3,1
2024-08-23,1,1
2024-08-25,1,1
2024-08-26,2,2
2024-08-27,2,1
2024-08-28,1,1
2024-08-29,3,3
2024-08-30,4,2
2024-08-31,2,2
2024-09-01,3,3
2024-09-02,4,1
2024-09-03,13,4
2024-09-04,3,3
2024-09-05,1,1
2024-09-06,5,3
2024-09-08,4,3
2024-09-09,3,3
2024-09-10,7,3
2024-09-11,11,3
2024-09-12,7,4
2024-09-13,11,3
