date,count,uniques
2024-10-11,11,2
2024-10-12,1,1
2024-10-13,1,1
2024-10-15,46,13
2024-10-16,3,1
2024-10-19,1,1
2024-11-07,1,1
2024-11-12,5,1
2024-11-16,1,1
2024-11-18,1,1
2024-11-26,3,1
2024-12-14,2,2
2024-12-15,2,2
2024-12-22,1,1
2024-12-23,1,1
2024-12-24,3,1
2024-12-25,2,1
2024-12-26,1,1
2024-12-27,2,1
2024-12-28,1,1
2025-01-01,1,1
2025-01-04,1,1
2025-01-05,1,1
2025-01-06,1,1
2025-01-07,2,2
2025-01-08,18,3
2025-01-10,2,1
2025-01-11,1,1
2025-01-14,1,1
2025-01-15,2,2
2025-01-16,2,2
2025-01-17,2,2
2025-01-18,1,1
2025-01-19,1,1
2025-01-21,1,1
2025-01-22,1,1
2025-01-23,38,4
2025-01-27,6,1
2025-01-28,4,3
2025-01-29,1,1
2025-02-02,4,2
2025-02-03,2,2
2025-02-04,3,2
2025-02-05,7,4
2025-02-07,7,2
2025-02-08,4,3
2025-02-09,2,2
2025-02-10,4,3
2025-02-11,1,1
2025-02-12,3,3
2025-02-13,10,2
2025-02-14,2,2
2025-02-15,2,2
2025-02-16,4,3
2025-02-17,1,1
2025-02-19,2,1
2025-02-20,1,1
2025-02-21,1,1
2025-02-23,3,3
2025-02-25,1,1
2025-02-27,3,3
2025-02-28,2,2
2025-03-01,2,2
2025-03-02,2,1
2025-03-03,7,3
2025-03-04,3,1
2025-03-05,17,4
2025-03-06,3,2
2025-03-08,3,2
2025-03-09,4,2
