date,count,uniques
2024-07-25,3,1
2024-07-27,1,1
2024-07-29,1,1
2024-08-02,1,1
2024-08-27,3,1
2024-08-29,5,1
2024-09-03,1,1
2024-09-07,3,1
2024-09-09,1,1
2024-09-10,1,1
2024-09-12,1,1
2024-09-14,1,1
2024-09-18,1,1
2024-09-20,1,1
2024-09-21,2,2
2024-09-23,11,1
2024-09-29,2,1
2024-10-05,1,1
2024-10-08,3,1
2024-10-09,1,1
2024-10-10,6,1
2024-10-16,1,1
2024-10-21,12,1
2024-10-22,5,2
2024-10-25,1,1
2024-10-28,3,1
2024-11-06,2,1
2024-11-08,15,1
2024-11-11,1,1
2024-11-14,2,1
2024-11-15,3,1
2024-11-17,4,1
2024-11-20,2,2
2024-12-06,1,1
2024-12-29,1,1
2024-12-31,2,1
2025-01-07,4,2
2025-01-09,3,1
2025-01-10,5,2
2025-01-14,2,1
2025-01-15,2,2
2025-01-16,3,2
