date,count,uniques
2024-07-28,1,1
2024-07-30,2,2
2024-07-31,1,1
2024-08-14,1,1
2024-08-18,1,1
2024-08-23,1,1
2024-08-31,3,1
2024-09-01,1,1
2024-09-05,1,1
2024-09-14,1,1
2024-09-17,2,2
2024-09-20,5,1
2024-09-26,2,2
2024-09-27,1,1
2024-10-02,1,1
2024-10-08,3,2
2024-10-09,2,2
2024-10-11,1,1
2024-10-14,2,1
2024-10-18,2,1
2024-10-20,5,3
2024-10-21,1,1
2024-10-23,2,2
2024-10-24,2,2
2024-10-28,2,1
2024-11-01,3,1
2024-11-02,2,2
2024-11-03,3,1
2024-11-05,3,3
2024-11-08,1,1
2024-11-19,1,1
2024-11-20,1,1
2024-11-22,1,1
2024-11-25,7,3
2024-11-28,1,1
2024-11-29,1,1
2024-11-30,2,1
2024-12-03,2,2
2024-12-04,1,1
2024-12-05,1,1
2024-12-06,4,2
2024-12-07,7,3
2024-12-10,7,5
2024-12-11,3,3
2024-12-12,2,2
2024-12-13,2,1
2024-12-14,6,2
2024-12-15,1,1
2024-12-16,6,4
2024-12-17,2,2
2024-12-18,3,1
2024-12-19,2,2
2024-12-20,3,2
2024-12-22,3,3
2024-12-25,2,1
2024-12-28,1,1
2024-12-29,1,1
2024-12-30,2,2
2025-01-03,1,1
2025-01-04,2,2
