date,count,uniques
2025-04-14,9,9
2025-04-15,2,2
2025-04-19,1,1
2025-04-22,1,1
2025-04-23,1,1
2025-04-24,2,1
2025-04-26,2,2
2025-04-27,10,4
2025-04-28,11,8
2025-04-29,7,6
2025-04-30,34,32
2025-05-01,7,6
2025-05-02,1,1
2025-05-04,1,1
2025-05-05,5,4
2025-05-06,3,3
2025-05-07,3,2
2025-05-08,2,1
2025-05-09,9,3
2025-05-10,3,3
2025-05-11,4,4
2025-05-12,1,1
2025-05-13,1,1
2025-05-14,10,4
2025-05-15,1,1
2025-05-17,16,2
2025-05-18,1,1
2025-05-22,2,1
2025-05-23,1,1
2025-05-24,3,1
2025-05-25,1,1
2025-05-26,1,1
2025-05-27,1,1
2025-05-28,3,3
2025-05-29,1,1
2025-06-02,12,4
2025-06-03,1,1
2025-06-04,4,3
2025-06-05,5,2
2025-06-06,1,1
2025-06-08,29,3
2025-06-09,5,4
2025-06-10,1,1
2025-06-11,6,3
2025-06-12,2,2
2025-06-13,1,1
2025-06-15,3,2
2025-06-16,3,3
2025-06-17,2,2
2025-06-18,1,1
2025-06-19,1,1
2025-06-20,3,2
2025-06-21,2,1
2025-06-23,5,5
2025-06-26,1,1
2025-06-27,12,3
2025-06-28,1,1
2025-07-01,2,2
2025-07-03,1,1
2025-07-04,1,1
2025-07-05,7,2
2025-07-06,3,1
2025-07-07,15,2
2025-07-08,8,4
2025-07-09,4,3
2025-07-10,3,3
2025-07-11,3,2
2025-07-12,2,2
2025-07-14,2,2
2025-07-16,1,1
2025-07-17,1,1
2025-07-18,14,3
2025-07-19,4,1
2025-07-21,3,1
2025-07-22,2,2
2025-07-23,7,1
2025-07-24,1,1
2025-07-25,1,1
2025-07-26,5,2
2025-07-28,1,1
2025-07-29,1,1
2025-07-30,1,1
2025-07-31,1,1
2025-08-01,4,3
2025-08-02,1,1
2025-08-04,6,4
2025-08-06,5,5
2025-08-07,3,3
2025-08-09,1,1
2025-08-10,1,1
2025-08-14,3,3
2025-08-16,5,4
2025-08-20,1,1
2025-08-22,1,1
2025-08-23,5,1
2025-08-24,2,2
